ITL1 region,SIC07,SIC07 desc,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
West Midlands,P (85),Education,6085.0,5984.0,6067.0,6064.0,6041.0,6266.0,5570.0,5785.0,5992.0,6225.0,6825.0
West Midlands,Q (86-88),Human health and social work activities,7382.0,7562.0,7605.0,7635.0,8019.0,8351.0,8802.0,9133.0,8815.0,9531.0,9687.0
West Midlands,R (90-93),"Arts, entertainment and recreation",1355.0,1599.0,1738.0,1724.0,1750.0,1948.0,1897.0,2012.0,1334.0,1911.0,1927.0
West Midlands,S (94-96),Other service activities,2007.0,2202.0,2355.0,2547.0,2658.0,2958.0,3107.0,2920.0,2718.0,2912.0,3422.0
West Midlands,T (97-98),Activities of households,127.0,91.0,93.0,92.0,91.0,76.0,91.0,118.0,84.0,110.0,110.0
Yorkshire and The Humber,ABDE (1-9; 35-39),"Agriculture, mining, electricity, gas, water and waste",3763.0,3689.0,3796.0,2923.0,4765.0,2807.0,3726.0,2931.0,3600.0,4106.0,4303.0
Yorkshire and The Humber,C (10-33),Manufacturing,5209.0,3646.0,3757.0,3815.0,3763.0,3890.0,4085.0,4202.0,4413.0,4626.0,3765.0
Yorkshire and The Humber,F (41-43),Construction,4621.0,4897.0,5159.0,5535.0,5665.0,6053.0,6301.0,6562.0,5450.0,6624.0,6762.0
Yorkshire and The Humber,G (45-47),Wholesale and retail trade; repair of motor vehicles,6554.0,5613.0,5711.0,5909.0,6208.0,6894.0,4933.0,5996.0,6079.0,5878.0,5377.0
Yorkshire and The Humber,H (49-53),Transportation and storage,4693.0,4996.0,5006.0,5026.0,4185.0,5399.0,5367.0,4600.0,4919.0,5075.0,5843.0
Yorkshire and The Humber,I (55-56),Accommodation and food service activities,2468.0,2613.0,2741.0,2909.0,2979.0,3392.0,3536.0,3669.0,2361.0,3513.0,3684.0
Yorkshire and The Humber,J (58-63),Information and communication,2197.0,2148.0,2120.0,2191.0,2445.0,2449.0,2604.0,2784.0,1798.0,2152.0,2213.0
Yorkshire and The Humber,K (64-66),Financial and insurance activities,2417.0,2419.0,2947.0,2118.0,2169.0,3529.0,3320.0,3274.0,3407.0,2671.0,3555.0
